Monitoring Sites,April,May,June,July,August,September,October
Dam Pool,2.82,7.67,3.26,2.28,4.29,6.79,7.43
MidLake u/s Flowery Branch ,3.66,6.54,4.06,3.06,4.22,9.87,7.63
Browns Bridge,6.21,7.58,4.21,4,4.5,10.47,6.87
Lanier Bridge,8.43,9.7,4.82,8.62,8.91,13.82,12
Boling  Bridge Embayment,7.01,5.36,4.23,7.46,11,10.3,9.42
Flat Creek Embayment,7.26,5.75,5.2,4.15,5.25,10.9,6.01
Balus Creek Embayment,6.61,5.29,4.78,4.15,4.97,11.5,7.09
Mud Creek Embayment,5.3,5.86,4.46,4.12,4.23,9.83,7.47
Little River Embayment,9.99,11,9.76,8.71,12,20.24,14
Six  Mile Embayment,3.96,7.25,2.87,3.34,4.79,13.08,6.7
